Fecha,Modelo,Precio,Vendedor,Cliente
2023-08-06,Truck,17401.85,Vendedor4,ClienteD
2023-05-25,SUV,39390.69,Vendedor1,ClienteF
2024-03-29,Truck,35663.98,Vendedor4,ClienteF
2023-11-26,Hatchback,37359.49,Vendedor1,ClienteC
2024-04-06,Sedan,17209.48,Vendedor3,ClienteA
2024-02-02,Coupe,39934.52,Vendedor1,ClienteD
2023-12-16,SUV,13213.22,Vendedor2,ClienteD
2023-07-08,Minivan,27454.48,Vendedor1,ClienteF
2024-01-10,Sedan,36649.89,Vendedor2,ClienteC
2024-01-20,SUV,43569.48,Vendedor4,ClienteF
2023-10-25,Hatchback,46181.42,Vendedor2,ClienteE
2024-05-18,Hatchback,49394.37,Vendedor2,ClienteC
2024-05-15,SUV,43146.8,Vendedor3,ClienteE
2023-08-06,Minivan,43795.42,Vendedor3,ClienteD
2024-02-18,Minivan,10361.96,Vendedor3,ClienteA
2023-12-10,Convertible,27661.59,Vendedor1,ClienteD
2023-09-11,Hatchback,28175.2,Vendedor1,ClienteF
2023-09-05,SUV,31817.52,Vendedor2,ClienteE
2023-07-30,Minivan,48266.31,Vendedor1,ClienteF
2024-04-08,Minivan,19508.36,Vendedor1,ClienteD
2024-01-18,Sedan,19009.33,Vendedor1,ClienteA
2023-09-22,SUV,21250.36,Vendedor2,ClienteC
2024-01-27,Truck,20748.67,Vendedor2,ClienteC
2023-09-26,Hatchback,20235.34,Vendedor3,ClienteD
2023-09-20,Minivan,13303.24,Vendedor3,ClienteD
2023-11-26,Hatchback,34192.66,Vendedor4,ClienteD
2023-07-21,Sedan,12613.43,Vendedor1,ClienteC
2023-07-18,Hatchback,18229.58,Vendedor1,ClienteB
2024-02-13,Hatchback,49720.53,Vendedor3,ClienteB
2023-08-06,Hatchback,18470.55,Vendedor1,ClienteC
2023-11-10,Minivan,49302.06,Vendedor2,ClienteC
2024-02-01,SUV,24230.15,Vendedor4,ClienteC
2024-04-08,Coupe,15716.72,Vendedor1,ClienteF
2023-10-24,Convertible,37943.2,Vendedor1,ClienteC
2023-12-09,Coupe,44341.72,Vendedor1,ClienteB
2023-06-01,Convertible,25139.89,Vendedor3,ClienteB
2023-10-23,Hatchback,44146.53,Vendedor4,ClienteC
2023-10-17,Minivan,13788.2,Vendedor3,ClienteF
2023-05-26,Hatchback,28738.36,Vendedor2,ClienteB
2023-10-05,Minivan,32735.24,Vendedor3,ClienteC
2024-04-29,Truck,21533.76,Vendedor3,ClienteD
2023-08-24,Coupe,34322.29,Vendedor3,ClienteD
