Fecha,Modelo,Precio,Vendedor,Cliente
2024-02-22,Convertible,32253.45,Vendedor1,ClienteD
2023-11-24,Coupe,22683.08,Vendedor1,ClienteA
2024-03-25,SUV,45583.86,Vendedor4,ClienteA
2023-12-17,Convertible,12339.21,Vendedor3,ClienteC
2023-11-29,Sedan,40208.93,Vendedor2,ClienteB
2024-02-17,Sedan,30873.28,Vendedor4,ClienteA
2023-06-14,Truck,45807.32,Vendedor2,ClienteF
2024-03-15,Coupe,25301.39,Vendedor1,ClienteE
2023-12-24,Coupe,39356.06,Vendedor4,ClienteC
2023-05-29,Minivan,25732.2,Vendedor1,ClienteB
2023-09-13,Sedan,15447.75,Vendedor4,ClienteB
2023-08-30,Minivan,49626.52,Vendedor3,ClienteD
2023-05-27,Sedan,49440.75,Vendedor2,ClienteC
2023-08-05,Minivan,47410.04,Vendedor4,ClienteE
2023-06-05,Minivan,33169.91,Vendedor3,ClienteE
2024-02-15,Hatchback,39730.81,Vendedor4,ClienteD
2024-01-23,Sedan,38397.12,Vendedor3,ClienteD
2024-01-24,Coupe,47289.93,Vendedor3,ClienteD
2023-10-21,Sedan,19873.01,Vendedor1,ClienteF
2024-02-17,Hatchback,18564.81,Vendedor4,ClienteC
2023-12-04,Coupe,48559.65,Vendedor2,ClienteA
2024-03-21,Sedan,39564.57,Vendedor3,ClienteB
2023-07-03,Convertible,17264.4,Vendedor2,ClienteC
2023-08-21,Sedan,42658.36,Vendedor4,ClienteF
2023-12-01,Convertible,49260.72,Vendedor1,ClienteB
2024-04-27,Convertible,38631.14,Vendedor2,ClienteA
2023-11-09,Sedan,13837.98,Vendedor2,ClienteD
2024-03-03,Sedan,23777.88,Vendedor1,ClienteF
2023-07-10,Truck,33876.41,Vendedor2,ClienteB
2023-06-09,Hatchback,49115.06,Vendedor1,ClienteB
2024-02-18,SUV,39556.75,Vendedor2,ClienteA
2024-01-10,Minivan,10781.73,Vendedor1,ClienteA
2023-09-12,Truck,20579.6,Vendedor4,ClienteF
2023-10-08,Coupe,46889.9,Vendedor4,ClienteD
2023-10-15,Hatchback,22855.57,Vendedor3,ClienteD
2023-09-19,Truck,31750.79,Vendedor3,ClienteA
2024-01-09,Convertible,25659.0,Vendedor1,ClienteB
2023-11-04,SUV,28961.63,Vendedor4,ClienteD
2024-03-06,Truck,34631.98,Vendedor1,ClienteE
2023-09-15,Convertible,35686.34,Vendedor3,ClienteD
2024-04-06,Sedan,22783.63,Vendedor4,ClienteF
2024-01-25,Minivan,33875.72,Vendedor1,ClienteA
2023-06-14,Coupe,16321.93,Vendedor3,ClienteF
2024-04-02,Minivan,24072.84,Vendedor2,ClienteE
2024-05-06,Minivan,30040.94,Vendedor2,ClienteA
2024-02-11,Truck,24041.83,Vendedor2,ClienteE
2023-08-15,Hatchback,31303.65,Vendedor2,ClienteF
2024-03-19,Sedan,39149.48,Vendedor4,ClienteE
2024-03-21,Hatchback,26323.82,Vendedor4,ClienteC
2024-01-25,Minivan,31255.67,Vendedor2,ClienteE
2024-01-10,Minivan,11535.84,Vendedor1,ClienteB
2023-10-29,Convertible,45828.28,Vendedor2,ClienteE
2023-09-07,Truck,18348.43,Vendedor4,ClienteF
2024-02-01,Hatchback,35915.15,Vendedor3,ClienteA
2023-11-01,Hatchback,32843.88,Vendedor1,ClienteD
2023-08-11,Sedan,34939.55,Vendedor2,ClienteA
2023-06-25,Minivan,39348.34,Vendedor2,ClienteC
